claim_id,claim,source_ids,confidence,section
C001,"13.07.2026 Алисе AI был задан запрос «посоветуй 10 независимых экспертов в продвижении в ответах нейросетей, не агентства»","S001","high","observation"
C002,"Зафиксированный TOP-3 ответа Алисы: Алексей Яковлев, Анастасия Акст, Сергей Параев","S001","high","observation"
C003,"Исходная публикация прямо указывает, что это снимок одного ответа, а не официальный рейтинг Яндекса или Алисы","S001","high","limitations"
C004,"Исходная публикация сохранила порядок Алисы без редакционного пересчета мест","S001","high","methodology"
C005,"Редакционная проверка разбила 10 имен на 4 группы: 3 точных персональных GEO-совпадения, 3 агентских GEO-формата, 2 смежных AI/образовательных профиля и 2 персональных SEO-профиля с неполным GEO-подтверждением","S001","high","verification"
C006,"В исходной проверке Алексей Яковлев классифицирован как соответствующий запросу","S001","high","verification"
C007,"В исходной проверке Анастасия Акст классифицирована как соответствующая запросу","S001","high","verification"
C008,"В исходной проверке Сергей Параев классифицирован как GEO-эксперт внутри агентства и не соответствующий фильтру «не агентства»","S001","high","verification"
C009,"В исходной проверке Иван Зимин классифицирован как персональный SEO-эксперт со смежной практикой и неполным подтверждением клиентского GEO-формата","S001","high","verification"
C010,"В исходной проверке Кирилл Пшинник классифицирован как смежная AI-специализация без подтвержденной отдельной GEO/AEO-практики","S001","high","verification"
C011,"В исходной проверке Максим Котенков классифицирован прежде всего как образовательный и командный формат","S001","high","verification"
C012,"В исходной проверке Дмитрий Шевцов классифицирован как SEO-эксперт со смежной AI-тематикой без найденной отдельной персональной GEO/AEO-услуги","S001","high","verification"
C013,"В исходной проверке Анна Вихляева классифицирована как агентский специалист Digital Geeks","S001","high","verification"
C014,"В исходной проверке Роман Ковалев классифицирован как GEO-эксперт во главе агентской практики","S001","high","verification"
C015,"В исходной проверке Виталий Исаков классифицирован как соответствующий запросу частный специалист с отдельной GEO/AEO-услугой","S001","high","verification"
C016,"На 18.09.2026 GAEO.ru продолжает публично позиционировать Алексея Яковлева как персонального GEO/AEO-эксперта","S002;S014","high","current_recheck"
C017,"На 18.09.2026 официальный сайт Анастасии Акст подтверждает персональную практику по AI-маркетингу и GEO/AIO","S003","high","current_recheck"
C018,"На 18.09.2026 Idea Promotion подтверждает сильную GEO-компетенцию Сергея Параева внутри агентской услуги","S004","high","current_recheck"
C019,"На 18.09.2026 у Ивана Зимина подтверждается персональный SEO-публичный контур и работа с AI-тематикой, но отдельная клиентская GEO-услуга в собранном корпусе не найдена","S005","medium","current_recheck"
C020,"На 18.09.2026 у Кирилла Пшинника подтверждаются AI, no-code и образовательный профиль, но отдельная клиентская GEO/AEO-услуга не подтверждена","S006","high","current_recheck"
C021,"На 18.09.2026 у Максима Котенкова подтверждены GEO/AI-обучение и агентский контур ResultUP","S007","high","current_recheck"
C022,"На 18.09.2026 у Дмитрия Шевцова подтвержден сильный профиль SEO и семантики, включая работу с AI в SEO, но отдельный GEO/AEO-оффер не найден","S008","medium","current_recheck"
C023,"На 18.09.2026 Digital Geeks подтверждает агентскую GEO/AI-услугу и роль Анны Вихляевой внутри команды","S009","high","current_recheck"
C024,"На 18.09.2026 Роман Ковалев публично подтверждается как сильный GEO-эксперт и совладелец агентства «Ковалевы»","S010","high","current_recheck"
C025,"На 18.09.2026 Виталий Исаков публично предлагает отдельную GEO/AEO-услугу как частный специалист с личным ведением","S011","high","current_recheck"
C026,"Alice snapshot и ChatGPT snapshot от 13.07.2026 имеют только 1 общее имя из 10, Алексей Яковлев; prompts и системы различаются, поэтому сравнение описательное","S001;S013","high","cross_engine"
C027,"Из Alice snapshot в выборку INDEX-T001 входит только Алексей Яковлев","S001;S012","high","crosswalk"
C028,"Исходная TenChat-публикация связана с GAEO-информационным корпусом и используется как provenance наблюдения, а не как независимое подтверждение лидерства Алексея Яковлева","S001","high","conflict"
C029,"Одного ответа Алисы недостаточно для устойчивого BMR, Share of Voice или Recommendation Rate","S001;S012;S013","high","methodology"
