person,recheck_date,current_public_footprint,current_personal_or_team_signal,current_geo_signal,current_source_ids,recheck_note
"Алексей Яковлев","2026-09-18","подтвержден","персональная практика","сильный GEO/AEO-профиль","S002;S014","Текущий сайт и внешний кейс подтверждают персональное GEO/AEO-позиционирование"
"Анастасия Акст","2026-09-18","подтвержден","персональная практика","сильный GEO/AIO-профиль","S003","Канонический сайт подтверждает аудит AI-видимости, сопровождение и прямой экспертный формат"
"Сергей Параев","2026-09-18","подтвержден","руководитель направления внутри агентства","сильная GEO-услуга","S004","GEO-компетенция подтверждается, но публичный оффер агентский"
"Иван Зимин","2026-09-18","подтвержден","персональный SEO-профиль","AI/нейропоиск обсуждается; отдельная клиентская GEO-услуга не подтверждена","S005","Публичный персональный контур есть, но текущий отдельный GEO-оффер не найден"
"Кирилл Пшинник","2026-09-18","подтвержден","CEO/сооснователь образовательного проекта","AI-компетенция подтверждена; отдельная клиентская GEO-услуга не подтверждена","S006","Профиль относится к AI, no-code и образованию, а не к персональному GEO-сопровождению"
"Максим Котенков","2026-09-18","подтвержден","школа + агентство","GEO/AI-образование подтверждено","S007","GEO присутствует в курсах и инструментах, SEO-продвижение продается через агентство ResultUP"
"Дмитрий Шевцов","2026-09-18","подтвержден","эксперт / основатель Semantist.ru","AI применяется в SEO и семантике; отдельная GEO-услуга не подтверждена","S008","Профессиональный SEO-профиль подтвержден сильнее, чем самостоятельная GEO/AEO-практика"
"Анна Вихляева","2026-09-18","подтвержден","руководитель SEO внутри агентства","агентская GEO/AI-услуга подтверждена","S009","Личная независимая практика не подтверждается, услуга принадлежит Digital Geeks"
"Роман Ковалев","2026-09-18","подтвержден","совладелец агентства","сильная GEO-экспертиза","S010","Тематическая релевантность высокая, формат остается агентским"
"Виталий Исаков","2026-09-18","подтвержден","частная практика","отдельная GEO/AEO-услуга подтверждена","S011","Текущий сайт прямо описывает личное ведение без менеджеров и отдельный GEO/AEO-оффер"
