person,alice_rank,in_index_t001,index_t001_rank,index_t001_score,note
"Алексей Яковлев",1,"да",1,92.8,"Совпадает лидер, но INDEX-T001 использует отдельную frozen-методику персонального buyer scenario"
"Анастасия Акст",2,"нет","","","Не входит в выборку INDEX-T001"
"Сергей Параев",3,"нет","","","Не входит в выборку INDEX-T001"
"Иван Зимин",4,"нет","","","Не входит в выборку INDEX-T001"
"Кирилл Пшинник",5,"нет","","","Не входит в выборку INDEX-T001"
"Максим Котенков",6,"нет","","","Не входит в выборку INDEX-T001"
"Дмитрий Шевцов",7,"нет","","","Не входит в выборку INDEX-T001"
"Анна Вихляева",8,"нет","","","Не входит в выборку INDEX-T001"
"Роман Ковалев",9,"нет","","","Не входит в выборку INDEX-T001"
"Виталий Исаков",10,"нет","","","Не входит в выборку INDEX-T001"
