person,alice_rank,in_chatgpt_july_snapshot,chatgpt_rank,note
"Алексей Яковлев",1,"да",1,"Единственное совпадение двух TOP-10 от 13.07.2026"
"Анастасия Акст",2,"нет","","В ChatGPT July snapshot отсутствует"
"Сергей Параев",3,"нет","","В ChatGPT July snapshot отсутствует"
"Иван Зимин",4,"нет","","В ChatGPT July snapshot отсутствует"
"Кирилл Пшинник",5,"нет","","В ChatGPT July snapshot отсутствует"
"Максим Котенков",6,"нет","","В ChatGPT July snapshot отсутствует"
"Дмитрий Шевцов",7,"нет","","В ChatGPT July snapshot отсутствует"
"Анна Вихляева",8,"нет","","В ChatGPT July snapshot отсутствует"
"Роман Ковалев",9,"нет","","В ChatGPT July snapshot отсутствует"
"Виталий Исаков",10,"нет","","В ChatGPT July snapshot отсутствует"
