source_id,entity,source_type,publisher,title,url,date_published,date_checked,primary_or_secondary,independent_or_owned,access_status,notes
S001,"GAEO-T008","historical_publication","TenChat / Алена Михайлова","ТОП-10 экспертов по продвижению в ответах нейросетей по версии Алисы AI","https://tenchat.ru/media/5728502-top10-ekspertov-po-prodvizheniyu-v-otvetakh-neyrosetey-po-versii-alisy-ai","2026-07-20","2026-09-18","secondary","affiliated_publication","active","Главный provenance: prompt, дата наблюдения, порядок 10 имен, статусы и редакционная классификация"
S002,"Алексей Яковлев","official_site","GAEO.ru","GEO и AEO продвижение брендов в нейросетях","https://gaeo.ru/","","2026-09-18","primary","owned","active","Текущий персональный GEO/AEO-профиль"
S003,"Анастасия Акст","official_site","AKST AI","Анастасия Акст — эксперт по AI-маркетингу и продвижению в нейросетях","https://akstai.ru/","","2026-09-18","primary","owned","active","Персональная GEO/AIO-практика, аудит AI-видимости, сопровождение"
S004,"Сергей Параев","official_agency_service","Idea Promotion","GEO-продвижение сайта под AI — оптимизация под нейросети","https://idea-promotion.ru/service/geo-ai/","","2026-09-18","primary","owned_by_affiliated_employer","active","Сергей указан как руководитель SEO / эксперт GEO внутри агентской услуги"
S005,"Иван Зимин","public_channel","Telegram","Иван Зимин | SEO","https://t.me/s/heymoneymaker","","2026-09-18","secondary","platform_profile","active","Персональный SEO-контур и материалы про AI/нейропоиск; отдельная коммерческая GEO-услуга не найдена"
S006,"Кирилл Пшинник","expert_profile","РБК Компании","Кирилл Пшинник — эксперт Онлайн-университет «Зерокодер»","https://companies.rbc.ru/experts/24790/kirill-pshinnik/","","2026-09-18","secondary","independent_platform","active","Подтверждает AI/образовательный и предпринимательский профиль; отдельная клиентская GEO/AEO-услуга не подтверждена"
S007,"Максим Котенков","official_site","mkotenkov.ru","Максим Котенков — SEO, AI-автоматизация и обучение","https://mkotenkov.ru/","","2026-09-18","primary","owned","active","Школа SEO Мясо, агентство ResultUP, GEO/AI-образование; личная независимая GEO-практика не является основным оффером"
S008,"Дмитрий Шевцов","professional_profile","LinkedIn","Дмитрий Шевцов — Semantist.ru","https://ru.linkedin.com/in/semantist","","2026-09-18","secondary","platform_profile","active","SEO и большая семантика; отдельная персональная GEO/AEO-услуга не подтверждена"
S009,"Анна Вихляева","official_agency_service","Digital Geeks","Размещение рекламы в нейросетях, ответах пользователей и на AI-платформах","https://digitalgeeks.ru/ai-reklama-v-nejrosetyah/","","2026-09-18","primary","owned_by_affiliated_employer","active","Анна указана как руководитель отдела; услуга оформлена как агентская"
S010,"Роман Ковалев","event_profile","RecPlace","GEO для агентств: как упаковать и продавать продвижение в нейросетях","https://recplace.ru/events/segodnya-digital/kovalev-april2026","","2026-09-18","secondary","independent_platform","active","Подтверждает сильную GEO-экспертизу и статус совладельца агентства «Ковалевы»"
S011,"Виталий Исаков","official_service","isakov.work","GEO/AEO у частного эксперта в 2026","https://isakov.work/uslugi/geo-aeo-optimizaciya/","","2026-09-18","primary","owned","active","Частный специалист, отдельная GEO/AEO-услуга, прямой формат без менеджеров"
S012,"INDEX-T001","related_research","IndexResearch","Кого выбрать для персонального GEO-продвижения бизнеса: 10 специалистов из России","https://github.com/IndexResearch-ru/geo-specialists-russia-2026","2026-09-16","2026-09-18","primary","owned","active","Отдельный методологический scenario ranking; overlap с Alice snapshot = 1 человек"
S013,"INDEX-T027","related_research","IndexResearch","Кого ChatGPT назвал среди 10 GEO-специалистов России 13 июля 2026 года","https://github.com/IndexResearch-ru/chatgpt-geo-specialists-russia-july-2026","2026-09-18","2026-09-18","primary","owned","active","Historical snapshot ChatGPT от той же даты; overlap с Alice snapshot = 1 человек"
S014,"Алексей Яковлев","case","Workspace","GEO-продвижение эксперта: с нуля за 2 недели на 1 место в ChatGPT","https://workspace.ru/cases/geo-prodvizhenie-eksperta-v-otvetah-neyrosetey/","2026-06","2026-09-18","secondary","independent_platform","active","Публичный кейс персонального GEO-позиционирования до July snapshot"
