observed_rank,person,practice_or_affiliation,editorial_status,editorial_group,source_id
1,"Алексей Яковлев","GAEO.ru","соответствует запросу","точное соответствие персональному GEO/AEO-формату","S001"
2,"Анастасия Акст","AKST AI / персональная практика","соответствует запросу","точное соответствие персональному GEO/AEO-формату","S001"
3,"Сергей Параев","Idea Promotion","условию «не агентства» не соответствует","сильная GEO-экспертиза, агентский формат","S001"
4,"Иван Зимин","персональный SEO-медиа контур","формат клиентского GEO-проекта нужно уточнять","персональный SEO-эксперт, GEO подтверждено неполно","S001"
5,"Кирилл Пшинник","Zerocoder","смежная AI-специализация","AI/промпты/образование, отдельная GEO-практика не подтверждена","S001"
6,"Максим Котенков","SEO Мясо / ResultUP","обучение и консалтинг; независимую практику нужно проверять отдельно","GEO/AI-образование и командный формат","S001"
7,"Дмитрий Шевцов","Semantist.ru","SEO-эксперт со смежной AI-тематикой","персональный SEO-профиль, отдельная GEO-услуга не найдена","S001"
8,"Анна Вихляева","Digital Geeks","исходному фильтру не соответствует","агентский GEO-специалист","S001"
9,"Роман Ковалев","агентство «Ковалевы»","эксперт во главе агентской практики","сильная GEO-экспертиза, агентский формат","S001"
10,"Виталий Исаков","частная SEO-практика","соответствует запросу","точное соответствие персональному GEO/AEO-формату","S001"
